taxonID,datasetID,family,genus,specificEpithet,infraspecificEpithet,taxonRank
5285205,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,armandii,yuana,subspecies
5285207,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,scipioniformis,NA,species
5285208,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,excelsa,chinensis,variety
5285209,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,armandii,farjonii,variety
5285206,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,levis,NA,species
8024868,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,armandi,farjonii,subspecies
11322168,1ec61203-14fa-4fbd-8ee5-a4a80257b45a,Pinaceae,Pinus,masteriana,NA,species
5285211,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,mastersiana,NA,species
12100000,1ec61203-14fa-4fbd-8ee5-a4a80257b45a,Pinaceae,Pinus,armandii,masteriana,subspecies
8209455,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,armandii,mastersiana,subspecies
12055022,1ec61203-14fa-4fbd-8ee5-a4a80257b45a,Pinaceae,Pinus,armandii,mastersiana,subspecies
12355175,f382f0ce-323a-4091-bb9f-add557f3a9a2,Sapindaceae,Acer,polymorphum,sanguineum,subspecies
12328792,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Sapindaceae,Acer,polymorphum,sanguineum,subspecies
7777962,d9a4eedb-e985-4456-ad46-3df8472e00e8,Sapindaceae,Acer,palmatum,latilobatum,variety
5285719,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,eldarica,NA,species
7404650,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,halepensis,eldarica,variety
8353439,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,brutia,eldarica,subspecies
